transaction_id,transaction_datetime,branch_code,product_code,product_name,quantity,unit_price
T1,2025-01-01 02:43:00,USH01,correctorplus,CORRECTOR PLUS,1,3274.92
T1,2025-01-01 06:07:00,USH01,l4pizhb2plusplusplusplus,Lapiz HB2 Plus Plus Plus Plus,1,2213.7
T2,2025-01-01 05:00:00,USH01,cu4derno44plus,Cuaderno A4 Plus,4,"1324,27"
T2,2025-01-01 01:21:00,USH01,pendrive32gbplus#,Pendrive 32GB Plus,2,1092.13
T2,2025-01-01 03:34:00,USH01,TECLADOUSBPLUS,Teclado USB Plus,2,4303.26
T2,2025-01-01 06:28:00,USH01,calcu82,Calculadora Cientifica,2,3043.39
T3,2025-01-01 05:23:00,USH01,cuadernoa4plusplus,Cuaderno A4 Plus Plus,2,4059.2
T3,2025-01-01 08:31:00,USH01,lapiceranegraplus#,LAPICERA NEGRA PLUS,3,4480.74
T3,2025-01-01 09:58:00,USH01,agenda2025#,Agenda 2025,5,1835.84
T4,2025-01-01 02:36:00,USH01,agenda2025plus#,Agenda 2025 Plus,1,2872.77
T4,2025-01-01 09:26:00,USH01,GRAPADORA,Grapadora,4,2402.8
T5,2025-01-01 02:41:00,USH01,cu4derno44plusplus,Cuaderno A4 Plus Plus,1,3492.04
T5,2025-01-01 05:05:00,USH01,lapiz65,LAPIZ HB2 PLUS PLUS PLUS PLUS,1,1550.34
T5,2025-01-01 09:03:00,USH01,corrector,Corrector,5,4002.55
T6,2025-01-01 04:06:00,USH01,CORRECTOR,Corrector,3,4490.63
T7,2025-01-01 08:06:00,USH01,l4pizhb2plusplusplusplus,Lapiz HB2 Plus Plus Plus Plus,2,3037.37
T8,2025-01-01 06:48:00,USH01,mousein4l4mbrico,Mouse Inalambrico,2,4701.44
T8,2025-01-01 05:46:00,ush01,cuadernorayadoplus,Cuaderno Rayado Plus,2,2696.24
T8,2025-01-01 00:32:00,USH01,lapiz10,Lapiz HB2,1,1098.17
T8,2025-01-01 09:44:00,USH01,cuadernoa4plusplus#,Cuaderno A4 Plus Plus,5,2838.74
T9,2025-01-01 07:00:00,USH01,CUADERNORAYADO,Cuaderno Rayado,4,1207.11
T9,2025-01-01 01:51:00,USH01,agend25,Agenda 2025 Plus Plus,4,1213.36
T10,2025-01-01 01:17:00,USH01,CALCULADORABASICA,CALCULADORA BASICA,2,1969.89
T10,2025-01-01 04:02:00,USH01,cuadernoa4plus#,Cuaderno A4 Plus,1,4311.32
T10,2025-01-01 06:39:00,USH01,resm444plus,Resma A4 Plus,2,4590.26
T10,2025-01-01 08:18:00,USH01,pendrive32gbplusplus,Pendrive 32GB Plus Plus,5,4980.78
T11,2025-01-01 08:34:00,USH01,agenda2025plusplusplus,AGENDA 2025 PLUS PLUS PLUS,1,2117.14
T12,2025-01-01 04:00:00,USH01,calculadorabasica,Calculadora Basica,1,1087.79
T13,2025-01-01 05:23:00,USH01,mousein4l4mbricoplus,Mouse Inalambrico Plus,5,1144.33
T14,2025-01-01 01:14:00,ush01,agend80,Agenda 2025,3,3621.1
T14,2025-01-01 05:57:00,USH01,port4min4s,Portaminas,5,3058.06
T14,2025-01-01 09:01:00,ush01,correctorplus,Corrector Plus,3,4301.73
T14,2025-01-01 01:49:00,USH01,cu4dernor4y4do,Cuaderno Rayado,2,4743.51
T15,2025-01-01 04:17:00,ush-02,MOUSEINALAMBRICO,Mouse Inalambrico,3,3687.49
T15,2025-01-01 04:28:00,ush-02,lienz57,Lienzo 30x40,3,985.16
T15,2025-01-01 02:32:00,ush-02,lapiz48,Lapiz HB2 Plus Plus,1,840.61
T16,2025-01-01 00:40:00,ush-02,agenda2025,Agenda 2025,3,975.68
T16,2025-01-01 02:38:00,ush-02,archivador,Archivador,4,4076.49
T16,2025-01-01 05:40:00,ush-02,calculadorabasica,Calculadora Basica,1,4501.95
T16,2025-01-01 03:47:00,ush-02,l4pizhb2plusplusplus,Lapiz HB2 Plus Plus Plus,1,1254.0
T17,2025-01-01 04:45:00,ush-02,tecl4dousb,Teclado USB,2,899.39
T17,2025-01-01 00:28:00,ush-02,agenda2025plus,Agenda 2025 Plus,5,2478.65
T18,2025-01-01 05:21:00,ush-02,LAPICERANEGRA,Lapicera Negra,4,1255.29
T18,2025-01-01 00:01:00,ush-02,lapiceranegraplus,Lapicera Negra Plus,1,1598.33
T18,2025-01-01 02:07:00,ush-02,porta39,Portaminas,3,4785.27
T19,2025-01-01 03:16:00,ush-02,resmaa4,Resma A4,3,2490.08
T19,2025-01-01 03:35:00,ush-02,marca75,Marcadores Artist,1,2505.52
T19,2025-01-01 02:53:00,ush-02,agend37,Agenda 2025 Plus,2,2655.5
T19,2025-01-01 03:50:00,ush-02,MOUSEINALAMBRICOPLUS,MOUSE INALAMBRICO PLUS,2,2207.79
T20,2025-01-01 09:49:00,ush-02,mouseinalambricoplus#,Mouse Inalambrico Plus,1,4368.9
T20,2025-01-01 01:49:00,ush-02,acuarelas,Acuarelas,1,1419.8
T20,2025-01-01 02:04:00,ush-02,lapiz60,Lapiz HB2 Plus Plus Plus,1,2975.42
T20,2025-01-01 08:36:00,ush-02,cuadernoa4plus#,Cuaderno A4 Plus,4,2132.65
T21,2025-01-01 04:43:00,ush-02,correctorplus#,Corrector Plus,2,1888.6
T21,2025-01-01 05:43:00,ush-02,LIENZO30X40,LIENZO 30X40,3,2647.46
T21,2025-01-01 01:05:00,ush-02,tecla43,Teclado USB,2,2408.75
T21,2025-01-01 09:58:00,ush-02,resal3,Resaltador,4,1668.7
T22,2025-01-01 07:09:00,ush-02,archi95,Archivador,4,2054.17
T23,2025-01-01 06:38:00,ush-02,cuadernouniversitarioplus#,Cuaderno Universitario Plus,4,1721.57
T23,2025-01-01 06:43:00,ush-02,AGENDA2025PLUS,AGENDA 2025 PLUS,5,4662.07
T24,2025-01-01 06:28:00,ush-02,4gend42025,Agenda 2025,2,"4440,78"
T24,2025-01-01 01:23:00,ush-02,grapa96,GRAPADORA,4,1968.68
T24,2025-01-01 00:41:00,ush-02,archivador,Archivador,1,1741.73
T24,2025-01-01 01:57:00,ush-02,mouseinalambricoplus#,Mouse Inalambrico Plus,2,1440.01
T25,2025-01-01 02:47:00,ush-02,calcu14,CALCULADORA CIENTIFICA,1,3344.75
T25,2025-01-01 03:23:00,ush-02,marcadoresartist,MARCADORES ARTIST,4,3218.35
T25,2025-01-01 09:39:00,ush-02,cuade45,Cuaderno A4 Plus Plus,5,2066.65
