transaction_id,transaction_datetime,branch_code,product_code,product_name,quantity,unit_price
T9441,2025-05-24 23:52:32,RG_01,kit_escolar_basico,Kit Escolar Basico,1,3748.71
T9442,2025-05-24 00:12:16,RG_01,kit_escolar_basico,Kit Escolar Basico,1,3709.37
T9443,2025-03-23 22:17:53,RG_01,kit_escolar_basico,Kit Escolar Basico,3,3693.25
T9444,2025-02-15 04:16:42,RG_01,kit_escolar_basico,Kit Escolar Basico,1,3801.22
T9445,2025-02-08 14:39:02,RG_01,kit_escolar_basico,Kit Escolar Basico,3,3849.25
T9446,2025-03-29 05:27:57,rg-02,kit_escolar_basico,Kit Escolar Basico,1,3820.35
T9447,2025-05-16 13:33:55,RG_01,kit_escolar_basico,Kit Escolar Basico,1,3782.36
T9448,2025-02-11 19:26:05,rg-02,kit_escolar_basico,Kit Escolar Basico,1,3904.24
T9449,2025-01-19 00:13:37,rg-02,kit_escolar_basico,Kit Escolar Basico,1,3772.62
T9450,2025-04-28 05:34:02,rg-02,kit_escolar_basico,Kit Escolar Basico,2,3746.31
T9451,2025-03-31 05:04:30,RG_01,kit_escolar_basico,Kit Escolar Basico,3,3808.26
T9452,2025-04-18 04:41:44,rg-02,kit_escolar_basico,Kit Escolar Basico,1,3752.84
T9453,2025-02-07 08:07:47,rg-02,kit_escolar_basico,Kit Escolar Basico,3,3846.64
T9454,2025-02-14 06:04:58,RG_01,kit_escolar_basico,Kit Escolar Basico,3,3862.26
T9455,2025-06-18 06:06:23,RG_01,kit_escolar_basico,Kit Escolar Basico,1,3709.03
T9456,2025-05-04 10:30:15,rg-02,kit_escolar_basico,Kit Escolar Basico,2,3876.18
T9457,2025-03-10 23:40:53,RG_01,kit_escolar_basico,Kit Escolar Basico,2,3733.77
T9458,2025-05-13 17:33:46,rg-02,kit_escolar_basico,Kit Escolar Basico,3,3833.75
T9459,2025-05-22 13:58:37,RG_01,kit_escolar_basico,Kit Escolar Basico,3,3741.82
T9460,2025-02-22 10:02:52,rg-02,kit_escolar_basico,Kit Escolar Basico,2,3911.61
T9461,2025-03-04 23:16:01,RG_01,kit_escolar_basico,Kit Escolar Basico,3,3878.17
T9462,2025-06-09 13:52:39,RG_01,kit_escolar_basico,Kit Escolar Basico,1,3693.32
T9463,2025-02-21 23:45:46,rg-02,kit_escolar_basico,Kit Escolar Basico,2,3701.09
T9464,2025-05-08 06:33:56,rg-02,kit_escolar_basico,Kit Escolar Basico,1,3799.82
T9465,2025-02-21 10:25:51,rg-02,kit_escolar_basico,Kit Escolar Basico,1,3717.84
T9466,2025-04-24 12:22:05,rg-02,kit_escolar_basico,Kit Escolar Basico,3,3783.68
